#Aux Scan Info
#--------------------------------------------------------
#BMI SEMS SN:  20
#BMI MCPC SN:  19
#--------------------------------------------------------
#Status Flags
#NumFlag: 0 - OK, 999 - DNE, nnn - (?)
#
#--------------------------------------------------------
#StartDate	StartTime	EndDate	EndTime	StartSecs	EndSecs	NumBins	BinTime	ScanMinHV	ScanMaxHV	UP/DN	BinLim1	BinLim2	BinLim3	BinLim4	BinLim5	BinLim6	BinLim7	BinLim8	BinLim9	BinLim10	BinLim11	BinLim12	BinLim13	BinLim14	BinLim15	BinLim16	BinLim17	BinLim18	BinLim19	BinLim20	BinLim21	BinLim22	BinLim23	BinLim24	BinLim25	BinLim26	BinLim27	BinLim28	BinLim29	BinLim30	BinLim31	BinLim32	BinLim33	BinLim34	BinLim35	BinLim36	BinLim37	BinLim38	BinLim39	BinLim40	BinLim41	BinLim42	BinLim43	BinLim44	BinLim45	BinLim46	BinLim47	BinLim48	BinLim49	BinLim50	BinLim51	BinLim52	BinLim53	BinLim54	BinLim55	BinLim56	BinLim57	BinLim58	BinLim59	BinLim60	BinLim61	BinLim62	BinLim63	BinLim64	BinLim65	BinLim66	BinLim67	BinLim68	BinLim69	BinLim70	BinLim71	BinLim72	BinLim73	BinLim74	BinLim75	BinLim76	BinLim77	BinLim78	BinLim79	BinLim80	BinLim81	BinLim82	BinLim83	BinLim84	BinLim85	BinLim86	BinLim87	BinLim88	BinLim89	BinLim90	BinLim91	BinLim92	BinLim93	BinLim94	BinLim95	BinLim96	BinLim97	BinLim98	BinLim99	BinLim100	BinLim101	BinLim102	BinLim103	BinLim104	BinLim105	BinLim106	BinLim107	BinLim108	BinLim109	BinLim110	BinLim111	BinLim112	BinLim113	BinLim114	BinLim115	BinLim116	BinLim117	BinLim118	BinLim119	BinLim120	BinLim121	Fadj	CPCBAvg	CPCBSdev	TotScanConc	TotScanArea	TotScanVol	TotScanMass	ScanDensity	Numflg
231031	18:39:24.862	231031	18:41:24.864	1462	1582	120	1.000	2.625	4684.364	1	10.00	10.32	10.65	10.99	11.35	11.71	12.09	12.48	12.88	13.30	13.73	14.17	14.63	15.10	15.59	16.09	16.61	17.15	17.71	18.28	18.87	19.49	20.12	20.78	21.45	22.15	22.88	23.62	24.40	25.20	26.02	26.88	27.76	28.67	29.62	30.60	31.61	32.65	33.74	34.86	36.02	37.22	38.46	39.75	41.08	42.46	43.88	45.36	46.90	48.49	50.13	51.84	53.61	55.45	57.35	59.32	61.37	63.50	65.70	67.99	70.37	72.85	75.41	78.08	80.86	83.74	86.75	89.87	93.12	96.51	100.04	103.71	107.54	111.54	115.70	120.05	124.59	129.33	134.29	139.47	144.88	150.55	156.49	162.70	169.21	176.04	183.20	190.72	198.61	206.90	215.61	224.78	234.42	244.57	255.26	266.52	278.40	290.93	304.14	318.10	332.84	348.41	364.87	382.28	400.69	420.17	440.79	462.63	485.75	510.25	536.21	563.72	592.88	623.81	656.60	691.39	728.30	767.46	809.03	853.15	900.00	1.040	0.0	0.000	41943.965	4128.747	217.478	217.478	1.000	0
231031	18:41:48.963	231031	18:43:48.968	1606	1726	120	1.000	2.625	4684.519	1	10.00	10.32	10.65	10.99	11.35	11.71	12.09	12.48	12.88	13.30	13.73	14.17	14.63	15.10	15.59	16.09	16.61	17.15	17.71	18.28	18.87	19.49	20.12	20.78	21.45	22.15	22.88	23.62	24.40	25.20	26.02	26.88	27.76	28.67	29.62	30.60	31.61	32.65	33.74	34.86	36.02	37.22	38.46	39.75	41.08	42.46	43.89	45.37	46.90	48.49	50.13	51.84	53.61	55.45	57.35	59.32	61.37	63.50	65.70	67.99	70.37	72.85	75.41	78.08	80.86	83.75	86.75	89.87	93.12	96.51	100.04	103.71	107.54	111.54	115.70	120.05	124.59	129.33	134.29	139.47	144.88	150.55	156.49	162.70	169.21	176.04	183.20	190.72	198.61	206.90	215.61	224.78	234.42	244.57	255.26	266.52	278.40	290.93	304.14	318.10	332.84	348.41	364.87	382.28	400.69	420.17	440.79	462.63	485.75	510.25	536.21	563.72	592.88	623.81	656.60	691.39	728.30	767.46	809.03	853.15	900.00	1.040	0.0	0.000	43009.753	4102.878	214.057	214.057	1.000	0
231031	18:44:13.083	231031	18:46:13.075	1750	1870	120	1.000	2.625	4684.792	1	10.00	10.32	10.65	10.99	11.35	11.71	12.09	12.48	12.88	13.30	13.73	14.17	14.63	15.10	15.59	16.09	16.61	17.15	17.71	18.28	18.87	19.49	20.12	20.78	21.45	22.15	22.88	23.62	24.40	25.20	26.02	26.88	27.76	28.67	29.62	30.60	31.61	32.65	33.74	34.86	36.02	37.22	38.46	39.75	41.08	42.46	43.89	45.37	46.90	48.49	50.13	51.84	53.61	55.45	57.35	59.32	61.37	63.50	65.70	67.99	70.37	72.85	75.41	78.08	80.86	83.75	86.75	89.87	93.12	96.51	100.04	103.71	107.54	111.54	115.70	120.05	124.59	129.33	134.29	139.47	144.88	150.55	156.49	162.70	169.21	176.04	183.20	190.72	198.61	206.90	215.61	224.78	234.42	244.57	255.26	266.52	278.40	290.93	304.14	318.10	332.84	348.41	364.87	382.28	400.69	420.17	440.79	462.63	485.75	510.25	536.21	563.72	592.88	623.81	656.60	691.39	728.30	767.46	809.03	853.15	900.00	1.040	0.0	0.000	42999.191	4291.564	227.621	227.621	1.000	0
231031	18:46:37.199	231031	18:48:37.195	1894	2014	120	1.000	2.625	4684.877	1	10.00	10.32	10.65	10.99	11.35	11.71	12.09	12.48	12.88	13.30	13.73	14.17	14.63	15.10	15.59	16.09	16.61	17.15	17.71	18.28	18.87	19.49	20.12	20.78	21.45	22.15	22.88	23.62	24.40	25.20	26.02	26.88	27.76	28.67	29.62	30.60	31.61	32.65	33.74	34.86	36.02	37.22	38.46	39.75	41.08	42.46	43.89	45.37	46.90	48.49	50.13	51.84	53.61	55.45	57.35	59.32	61.37	63.50	65.70	68.00	70.38	72.85	75.42	78.08	80.86	83.75	86.75	89.87	93.12	96.51	100.04	103.71	107.54	111.54	115.70	120.05	124.59	129.33	134.29	139.47	144.89	150.55	156.49	162.70	169.21	176.04	183.20	190.72	198.61	206.90	215.62	224.78	234.42	244.57	255.26	266.52	278.40	290.93	304.15	318.10	332.84	348.41	364.87	382.28	400.69	420.17	440.80	462.63	485.75	510.25	536.21	563.72	592.88	623.81	656.60	691.39	728.30	767.47	809.03	853.15	900.00	1.040	0.0	0.000	42662.684	4158.466	219.310	219.310	1.000	0
231031	18:49:01.298	231031	18:51:01.302	2039	2159	120	1.000	2.624	4684.786	1	10.00	10.32	10.65	10.99	11.35	11.71	12.09	12.48	12.88	13.30	13.73	14.17	14.63	15.10	15.59	16.09	16.61	17.15	17.71	18.28	18.87	19.49	20.12	20.78	21.45	22.15	22.88	23.62	24.40	25.20	26.02	26.88	27.76	28.67	29.62	30.60	31.61	32.65	33.74	34.86	36.02	37.22	38.46	39.75	41.08	42.46	43.89	45.37	46.90	48.49	50.14	51.84	53.61	55.45	57.35	59.33	61.37	63.50	65.71	68.00	70.38	72.85	75.42	78.09	80.86	83.75	86.75	89.88	93.13	96.51	100.04	103.72	107.55	111.54	115.71	120.06	124.60	129.34	134.29	139.47	144.89	150.56	156.49	162.71	169.22	176.05	183.21	190.73	198.62	206.91	215.62	224.79	234.43	244.58	255.27	266.53	278.41	290.93	304.15	318.11	332.85	348.42	364.88	382.28	400.70	420.18	440.80	462.63	485.76	510.25	536.21	563.72	592.88	623.81	656.60	691.39	728.30	767.47	809.03	853.16	900.00	1.040	0.0	0.000	42756.856	4107.634	214.339	214.339	1.000	0
231031	18:51:25.419	231031	18:53:25.417	2183	2303	120	1.000	2.625	4685.056	1	10.00	10.32	10.65	10.99	11.35	11.71	12.09	12.48	12.88	13.30	13.73	14.17	14.63	15.10	15.59	16.09	16.61	17.15	17.71	18.28	18.87	19.49	20.12	20.78	21.45	22.15	22.88	23.62	24.40	25.20	26.02	26.88	27.76	28.67	29.62	30.60	31.61	32.65	33.74	34.86	36.02	37.22	38.46	39.75	41.08	42.46	43.89	45.37	46.90	48.49	50.14	51.84	53.61	55.45	57.35	59.32	61.37	63.50	65.71	68.00	70.38	72.85	75.42	78.09	80.86	83.75	86.75	89.87	93.13	96.51	100.04	103.71	107.54	111.54	115.71	120.05	124.59	129.34	134.29	139.47	144.89	150.56	156.49	162.71	169.22	176.04	183.21	190.72	198.61	206.90	215.62	224.78	234.42	244.57	255.26	266.53	278.40	290.93	304.15	318.10	332.84	348.41	364.87	382.28	400.69	420.18	440.80	462.63	485.75	510.25	536.21	563.72	592.88	623.81	656.60	691.39	728.30	767.47	809.03	853.16	900.00	1.040	0.0	0.000	43306.010	4159.179	216.937	216.937	1.000	0
231031	18:53:49.536	231031	18:55:49.539	2327	2447	120	1.000	2.626	4685.516	1	10.00	10.32	10.65	10.99	11.35	11.71	12.09	12.48	12.88	13.30	13.73	14.17	14.63	15.10	15.59	16.09	16.61	17.15	17.71	18.28	18.87	19.49	20.12	20.78	21.45	22.15	22.88	23.62	24.40	25.19	26.02	26.88	27.76	28.67	29.62	30.60	31.61	32.65	33.74	34.86	36.02	37.22	38.46	39.74	41.08	42.46	43.88	45.36	46.90	48.49	50.13	51.84	53.61	55.45	57.35	59.32	61.37	63.50	65.70	67.99	70.37	72.85	75.41	78.08	80.86	83.74	86.75	89.87	93.12	96.51	100.04	103.71	107.54	111.53	115.70	120.05	124.59	129.33	134.29	139.47	144.88	150.55	156.49	162.70	169.21	176.04	183.20	190.72	198.61	206.90	215.61	224.78	234.42	244.57	255.26	266.52	278.40	290.92	304.14	318.10	332.84	348.41	364.87	382.28	400.69	420.17	440.79	462.63	485.75	510.25	536.21	563.72	592.88	623.81	656.60	691.39	728.30	767.46	809.03	853.15	900.00	1.040	0.0	0.000	44372.107	4130.429	212.867	212.867	1.000	0
231031	18:56:13.643	231031	18:58:13.644	2471	2591	120	1.000	2.625	4685.337	1	10.00	10.32	10.65	10.99	11.35	11.71	12.09	12.48	12.88	13.30	13.73	14.17	14.63	15.10	15.59	16.09	16.61	17.15	17.71	18.28	18.87	19.49	20.12	20.78	21.45	22.15	22.88	23.62	24.40	25.20	26.02	26.88	27.76	28.67	29.62	30.60	31.61	32.65	33.74	34.86	36.02	37.22	38.46	39.75	41.08	42.46	43.89	45.37	46.90	48.49	50.13	51.84	53.61	55.45	57.35	59.32	61.37	63.50	65.70	68.00	70.38	72.85	75.42	78.09	80.86	83.75	86.75	89.87	93.12	96.51	100.04	103.71	107.54	111.54	115.70	120.05	124.59	129.33	134.29	139.47	144.89	150.56	156.49	162.70	169.22	176.04	183.20	190.72	198.61	206.90	215.62	224.78	234.42	244.57	255.26	266.53	278.40	290.93	304.15	318.10	332.84	348.41	364.87	382.28	400.69	420.17	440.80	462.63	485.75	510.25	536.21	563.72	592.88	623.81	656.60	691.39	728.30	767.47	809.03	853.16	900.00	1.040	0.0	0.000	43752.095	4140.456	217.013	217.013	1.000	0
231031	18:58:37.756	231031	19:00:37.755	2615	2735	120	1.000	2.625	4685.286	1	10.00	10.32	10.65	10.99	11.35	11.71	12.09	12.48	12.88	13.30	13.73	14.17	14.63	15.10	15.59	16.09	16.61	17.15	17.71	18.28	18.87	19.49	20.12	20.78	21.45	22.15	22.88	23.62	24.40	25.20	26.02	26.88	27.76	28.67	29.62	30.60	31.61	32.65	33.74	34.86	36.02	37.22	38.46	39.75	41.08	42.46	43.89	45.37	46.90	48.49	50.13	51.84	53.61	55.45	57.35	59.32	61.37	63.50	65.70	68.00	70.37	72.85	75.41	78.08	80.86	83.75	86.75	89.87	93.12	96.51	100.04	103.71	107.54	111.54	115.70	120.05	124.59	129.33	134.29	139.47	144.89	150.55	156.49	162.70	169.21	176.04	183.20	190.72	198.61	206.90	215.61	224.78	234.42	244.57	255.26	266.52	278.40	290.93	304.14	318.10	332.84	348.41	364.87	382.28	400.69	420.17	440.79	462.63	485.75	510.25	536.21	563.72	592.88	623.81	656.60	691.39	728.30	767.46	809.03	853.15	900.00	1.040	0.0	0.000	43439.349	4178.662	217.380	217.380	1.000	0
231031	19:01:01.868	231031	19:03:01.868	2759	2879	120	1.000	2.626	4685.258	1	10.00	10.32	10.65	10.99	11.35	11.71	12.09	12.48	12.88	13.30	13.73	14.17	14.63	15.10	15.59	16.09	16.61	17.15	17.71	18.28	18.87	19.49	20.12	20.78	21.45	22.15	22.88	23.62	24.40	25.20	26.02	26.88	27.76	28.67	29.62	30.60	31.61	32.65	33.74	34.86	36.02	37.22	38.46	39.75	41.08	42.46	43.89	45.36	46.90	48.49	50.13	51.84	53.61	55.45	57.35	59.32	61.37	63.50	65.70	67.99	70.37	72.85	75.41	78.08	80.86	83.74	86.75	89.87	93.12	96.51	100.04	103.71	107.54	111.54	115.70	120.05	124.59	129.33	134.29	139.47	144.88	150.55	156.49	162.70	169.21	176.04	183.20	190.72	198.61	206.90	215.61	224.78	234.42	244.57	255.26	266.52	278.40	290.93	304.14	318.10	332.84	348.41	364.87	382.28	400.69	420.17	440.79	462.63	485.75	510.25	536.21	563.72	592.88	623.81	656.60	691.39	728.30	767.46	809.03	853.15	900.00	1.040	0.0	0.000	43222.403	4232.732	224.475	224.475	1.000	0
