#SEMS Sensor Voltages
#--------------------------------------------------------
#BMI SEMS SN:  20
#BMI MCPC SN:  19
#--------------------------------------------------------
#Date	Time	Secs	SampLFEVolt	XsLFEVolt	ShLFEVolt	ImpdPVolt	PressVolt	RHVolt	TempVolt	BoardTempVolt
231031	18:15:46.222	43	1.46139962	1.61000777	1.52542426	3.25493015	4.10155004	0.03796013	3.33331673	4.50361602
231031	18:15:47.222	44	1.45662269	1.60907979	1.51567732	3.25496129	4.10224136	0.03840232	3.33391462	4.50314892
231031	18:15:48.223	45	1.45838523	1.60842584	1.52164381	3.25424506	4.10199847	0.03826531	3.33420734	4.50269427
231031	18:15:49.223	46	1.45803646	1.60821409	1.51976916	3.25483050	4.10235347	0.03795390	3.33367795	4.50245137
231031	18:15:50.223	47	1.45658532	1.61291628	1.52478276	3.25468102	4.10203583	0.03776706	3.33355339	4.50212128
231031	18:15:51.224	48	1.45267409	1.60790268	1.51620047	3.25431357	4.10257145	0.03797881	3.33332295	4.50194690
231031	18:15:52.223	49	1.45077452	1.61167067	1.51894083	3.25453155	4.10237215	0.03778574	3.33374646	4.50182856
231031	18:15:53.223	50	1.45062505	1.60317557	1.51570223	3.25420146	4.10204829	0.03744943	3.33220190	4.50173514
231031	18:15:54.226	51	1.44859470	1.60600935	1.52181197	3.25457515	4.10300119	0.03812829	3.33400804	4.50170400
231031	18:15:55.225	52	1.45044444	1.60882444	1.51865434	3.25540348	4.10266487	0.03746811	3.33244479	4.50159190
231031	18:15:56.225	53	1.44953514	1.60372364	1.51452512	3.25509208	4.10283303	0.03800373	3.33345374	4.50169155
231031	18:15:57.225	54	1.45725795	1.60417206	1.51085056	3.25439453	4.10257145	0.03781688	3.33297418	4.50171646
231031	18:15:58.232	55	1.45197654	1.60683145	1.52518136	3.25434471	4.10244689	0.03756776	3.33306137	4.50194690
231031	18:15:59.232	56	1.45895822	1.60734838	1.51838653	3.25441322	4.10206697	0.03741829	3.33336655	4.50192198
231031	18:16:00.236	57	1.45571339	1.61099804	1.51777618	3.25440076	4.10222268	0.03816566	3.33309874	4.50225830
231031	18:16:01.236	58	1.45528988	1.60592838	1.51545311	3.25472462	4.10230987	0.03831513	3.33358453	4.50250120
231031	18:16:02.244	59	1.45687804	1.60730479	1.52022381	3.25485541	4.10264619	0.03801618	3.33314234	4.50283128
231031	18:16:03.245	60	1.45481032	1.60373610	1.52012416	3.25443813	4.10204829	0.03794145	3.33327313	4.50308041
231031	18:16:04.245	61	1.46027857	1.60845075	1.52247838	3.25441944	4.10223513	0.03767364	3.33288699	4.50343541
231031	18:16:05.246	62	1.45920111	1.60589724	1.52242855	3.25472462	4.10171197	0.03791031	3.33331673	4.50396479
231031	18:16:06.246	63	1.45967445	1.60964032	1.51907785	3.25471839	4.10199847	0.03788539	3.33303023	4.50431979
231031	18:16:07.246	64	1.46164252	1.60645154	1.51901557	3.25461874	4.10151890	0.03807846	3.33317348	4.50473085
231031	18:16:08.246	65	1.46670595	1.60578514	1.51889723	3.25526646	4.10120750	0.03744943	3.33316725	4.50520418
