Sample File,D:\rawdata\rawdata_2021_01_SPL\SMPS_20220105_1116mst.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3010
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
22051,03/23/22,00:48:41,21.7,64.9,1.044116e-007,1.826237e-005,,0,0,0,0,0,0,0,139.845,119.297,103.069,717.852,236.068,382.057,525.692,1207.73,806.522,946.349,736.802,673.044,959.236,725.7,757.627,959.623,616.159,836.828,887.563,730.915,665.844,795.08,906.081,875.044,1028.15,897.098,793.154,978.459,1108.78,825.502,1044.96,951.066,811.029,804.538,571.468,639.899,516.277,339.555,384.535,224.186,211.524,147.911,133.979,91.027,145.957,147.763,142.642,165.055,180.709,135.947,158.42,144.105,142.807,180.755,212.581,207.977,182.965,138.788,256.574,198.492,271.665,291.178,298.933,234.494,256.113,255.334,321.013,348.657,303.048,273.716,249.233,272.557,189.484,189.203,205.715,202.582,128.349,122.796,78.9164,67.2665,65.9761,52.9954,46.8148,10.2158,25.8814,22.681,8.71138,5.33905,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.657,9847.5,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,264.999,29.3642,45.6576,33.9508,15.1247,2.03289,568.024,
22052,03/23/22,00:53:40,21.6,65.0,1.041740e-007,1.825759e-005,,0,0,0,0,0,0,165.009,0,238.062,407.765,197.635,614.816,1041.2,1155.02,1058.85,853.007,673.737,758.145,642.369,1305.96,1073.67,902.178,859.855,947.736,892.948,715.488,796.726,840.536,832.661,970.849,725.294,892.171,1008.96,1027.65,1113.43,1145.74,1086.01,940.221,1141.3,879.206,734.95,612.518,549.798,494.639,360.823,221.228,290.987,213.957,111.609,119.736,104.929,153.28,139.314,110.025,125.762,96.1521,66.1821,135.163,198.886,207.849,252.545,146.099,184.841,220.705,291.675,230.774,291.163,293.272,302.696,281.509,259.755,254.284,289.284,283.042,236.824,242.175,291.005,178.599,256.38,208.105,171.698,202.201,125.948,141.633,135.678,87.6763,49.5185,56.4785,46.0108,27.9971,56.1743,20.7005,10.4372,5.26331,5.33789,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6782,9855.59,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.193,28.3729,43.1154,32.1651,18.1056,2.01385,610.773,
22053,03/23/22,00:58:41,21.7,65.0,1.042992e-007,1.826237e-005,,0,0,0,0,0,197.39,0,419.071,119.171,411.859,461.318,224.368,730.998,523.583,608.483,746.912,720.491,777.18,896.778,835.977,837.34,1037.95,905.168,806.292,831.368,809.752,612.27,816.78,854.59,892.612,775.644,953.458,1009.69,805.947,1213.57,1080.07,1024.38,958.313,881.575,868.799,727.175,524.351,595.206,441.186,402.03,243,303.764,188.68,163.812,101.593,153.131,137.815,98.5296,135.871,131.436,213.135,138.394,191.04,189.116,310.73,234.596,187.842,234.716,272.039,210.56,303.671,284.316,323.641,307.734,206.668,260.52,353.203,349.383,274.051,244.669,311.229,218.361,249.777,234.36,195.799,180.175,228.36,85.7794,123.018,135.301,105.568,111.323,59.8233,70.1201,99.1847,47.1899,18.9133,5.77305,21.0556,10.677,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6683,9852.55,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.114,29.4143,45.939,33.9437,31.059,2.05493,587.477,
22054,03/23/22,01:03:40,21.7,65.0,1.042511e-007,1.826237e-005,,0,0,0,0,0,0,0,139.624,357.351,406.566,631.71,392.93,976.867,366.363,711.103,853.208,681.259,1139.51,685.466,995.48,1058.08,934.989,1173.41,904.824,940.003,942.718,594.211,853.598,779.233,737.426,882.64,887.798,789.236,921.791,1114.26,974.317,902.278,1113.48,1032.95,955.917,703.646,724.208,644.047,540.636,408.632,307.323,260.117,208.442,103.112,86.2809,103.607,116.107,146.239,127.051,109.632,90.2572,168.915,155.675,209.779,271.968,274.562,251.689,285.411,288.663,228.782,280.039,295.146,310.923,284.814,349.616,227.362,299.192,268.696,269.316,363.658,301.285,271.405,246.401,197.687,187.375,150.726,202.675,109.824,96.8801,79.6767,78.0145,79.5778,38.7266,40.2184,42.7288,23.3219,5.17548,10.4379,21.0546,10.6765,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6732,9854.71,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.163,28.8764,43.9597,32.9502,20.1691,2.01686,606.062,
22055,03/23/22,01:08:41,21.7,65.0,1.043473e-007,1.826237e-005,,0,0,0,0,0,0,0,139.757,323.996,441.135,627.774,340.442,743.025,596.654,958.55,745.932,996.777,881.751,1120.57,848.145,1074.52,993.014,770.853,973.301,932.491,1029.24,675.309,871.715,961.061,766.843,861.603,1050.14,960.341,1139.5,969.219,947.496,1040.34,1145.71,923.428,935.874,734.847,696.913,561.199,325.14,420.121,248.901,167.607,252.35,191.649,163.533,58.1023,181.37,84.1195,87.8229,123.985,88.7139,141.841,255.555,242.631,247.468,145.981,292.307,292.25,310.414,236.864,247.949,385.133,288.524,277.06,229.471,211.763,415.769,287.743,301.603,298.944,325.786,226.097,249.591,226.008,189.802,269.166,195.848,148.304,172.877,153.904,111.301,77.0188,48.2571,64.3107,54.7076,57.2219,15.5279,10.4388,10.5283,16.0162,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6634,9850.38,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.065,28.6387,45.0136,33.2269,34.5989,2.04891,623.514,
22056,03/23/22,01:13:41,21.7,65.1,1.041710e-007,1.826237e-005,,0,0,0,0,0,197.115,0,0,238.054,404.234,543.505,628.275,763.522,969.955,623.226,946.594,950.758,1149.17,787.881,773.908,882.264,948.385,658.55,909.994,827.444,852.147,952.47,838.646,867.395,820.637,916.365,831.284,1043.99,1193.13,1238.73,1129.22,819.13,976.124,1003.12,799.358,662.49,597.386,442.964,488.82,481.24,337.63,298.558,255.525,155.543,128.695,134.119,124.982,139.043,149.974,155.763,186.772,152.087,146.132,220.959,229.255,213.462,259.492,259.293,373.822,221.866,259.16,308.468,250.289,343.573,285.648,365.638,311.649,284.761,268.201,269.524,295.1,294.649,229.84,260.588,251.312,201.089,177.784,175.676,115.02,141.833,90.6217,111.01,73.5023,82.8183,58.388,5.10669,25.8754,31.3112,5.26326,5.33784,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6813,9858.31,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.245,29.0475,45.1799,33.3527,31.059,2.05493,623.117,
22057,03/23/22,01:18:41,21.6,65.0,1.042863e-007,1.825759e-005,,0,0,0,0,0,0,0,139.673,595.785,205.907,358.543,393.047,486.323,740.929,655.444,1052.73,771.298,444.897,1021.44,1010.16,871.149,714.187,1003,814.717,715.84,868.316,1023.31,618.205,1059.11,1074.67,1129.8,896.916,1133.26,937.334,1117.24,976.865,967.411,945.16,755.144,781.721,718.353,786.062,598.676,573.963,349.496,365.572,225.706,208.986,229.626,143.969,108.075,70.9284,167.521,104.894,103.763,174.056,226.776,155.889,225.001,157.276,254.582,270.311,321.714,323.772,234.518,332.639,312.255,314.33,310.906,311.725,268.361,349.668,269.365,291.806,218.856,260.311,197.867,247.491,252.914,250.122,199.639,188.327,180.254,121.874,120.948,119.303,81.6067,71.4395,61.1134,53.5571,35.7512,31.0542,36.534,10.5277,10.6769,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6668,9850.54,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.078,29.1076,45.787,34.0245,28.9026,2.03871,607.66,
22058,03/23/22,01:23:41,21.6,64.9,1.043826e-007,1.825759e-005,,0,0,0,0,0,197.569,165.365,139.806,204.133,132.76,627.969,472.029,417.163,741.466,765.133,905.622,1085.53,831.622,1241.09,732.676,1038.24,847.539,1053.3,766.388,715.546,700.895,848.784,978.712,645.97,892.37,949.949,838.396,1177.46,968.092,1213.58,1095.46,1023.97,1147.37,1072.74,846.923,729.586,770.92,614.738,565.115,273.447,317.345,260.161,158.028,118.729,95.0058,119.57,160.15,156.73,133.576,162.225,148.578,168.294,236.289,235.012,333.592,278.092,308.031,298.875,298.308,298.66,340.305,321.137,380.109,330.693,293.063,275.655,284.09,309.414,236.511,238.304,302.945,270.646,258.653,199.675,194.154,221.993,200.803,172.754,126.307,139.564,70.9738,97.0416,50.3324,64.2791,38.5177,44.0012,20.7047,10.4393,15.7931,5.33894,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6571,9846.22,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,264.98,29.4364,45.1562,33.6616,17.4658,2.03642,628.67,
22059,03/23/22,01:28:41,21.6,64.9,1.044148e-007,1.825759e-005,,0,0,0,0,0,0,165.42,279.7,477.204,206.145,358.938,157.384,556.358,1215.08,627.808,1096.36,1036.51,900.568,972.21,719.451,739.706,948.312,783.737,1013.11,989.699,830.013,862.198,753.378,600.264,767.977,1094.31,961.284,1010.1,1075.58,980.695,1251.6,935.577,1248.16,925.557,838.5,1048.95,796.024,660.117,616.706,499.752,324.725,196.228,245.849,148.677,174.366,116.744,171.662,93.1187,100.316,173.175,227.031,199.851,172.687,195.466,237.387,261.137,281.857,215.399,375.336,249.035,283.013,302.913,333.607,368.816,296.098,242.217,260.679,217.055,273.756,296.008,249.136,238.309,244.868,227.499,212.363,196.112,240.69,154.508,133.533,132.465,124.984,71.2257,83.0497,63.1497,57.6361,54.2783,20.7054,15.6594,29.7829,1.82974,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6538,9844.77,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,264.947,29.6024,45.0472,33.5625,32.1968,2.03167,634.163,
22060,03/23/22,01:33:41,21.6,64.9,1.043505e-007,1.825759e-005,,0,0,0,0,0,197.5,330.621,139.762,238.458,309.039,538.111,550.555,486.568,535.998,451.305,851.346,863.974,750.067,581.836,479.453,1070.36,759.294,824.993,646.847,669.193,697.085,941.427,961.956,651.917,908.221,802.762,903.039,854.532,1154.04,900.398,1125.09,973.14,1028.02,840.633,878.362,743.138,621.88,555.925,427.679,447.88,440.064,301.626,169.93,156.289,201.398,154.16,170.07,196.905,176.341,197.587,104.454,274.215,159.455,236.762,256.738,303.418,247.956,362.773,266.243,318.85,269.421,359.412,378.362,384.458,332.478,366.652,319.622,328.654,319.486,232.645,317.789,217.472,228.877,230.715,163.753,237.764,203.041,187.592,155.234,125.214,100.548,132.068,110.041,61.1257,50.6333,38.8324,10.352,36.5363,31.5852,21.3551,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6603,9847.66,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.013,30.5343,48.0539,35.3593,29.9614,2.08756,599.052,
